yellow phosphorus into red 150
yellow quarantine flag and 48
yellow quarantine flag was 96
yielding phosphoric acid and 49
yields phosphoric acid and 193
yonder warehouses will not 124
younger generations coping with 57
younger generations have had 59
younger generations have not 106
younger generations were not 82
younger generations will not 79
