jurisdictions of several great 70
justification is derived from 167
justification of british rule 585
justification of colonial rule 177
justification of himself from 79
justification of imperial rule 83
justification of slavery from 72
justification of spanish rule 60
justification on grounds other 40
justification to conduct such 65
justification to eternal life 129
justification to support their 61
juxtaposition of material from 61
