vaccinations are required by law 40
versatility and sagacity of his 107
versatility and vitality of this 89
volunteered her services as fly 41
volunteered his services in this 49
volunteered his services on this 94
volunteered his services to aid 82
volunteered his services to his 150
volunteered his services to lead 49
