vacant for several years before 53
valley and counted their losses 136
verify and publish such edicts 169
vessel are usually left ashore 74
vessel not exceeding like burden 127
vessel was carried into nassau 96
virtue and insulting vice appears 50
virtue and probity runs through 49
virtue and religion over savage 161
virtue may proceed from christ 95
vistas and pathways leading onward 52
