page charges for concise reports 49
past conduct and present position 41
past history and current behavior 53
past history and present position 610
past members and deceased members 87
peace between his catholic majesty 41
post offices and federal buildings 182
post offices and railway stations 667
pure religion and perfect liberty 61
pure research and applied research 266
pure science and applied science 1847
