fact for 58 fact that 235
fine for 44 five and 176
five that 91 five with 41
flying for 139 four and 70
four that 190 four with 66
four for 47 from and 393
from are 75 from for 98
from that 153 from who 90
from with 60 from and 83
from and 101 from and 54
from are 44 from can 51
from are 61 from can 52
from are 49 from can 179
