cm in from the edge 304
cm in length at birth 43
cm in length is made 734
cm in length is used 73
cm in length or less 40
cm in size or less 44
cm is used to form 101
cm or less in length 861
cm or less in size 1109
cm or less in width 213
cm or more in depth 117
cm or more in length 2287
cm or more in size 530
cm or more in width 225
