gauge shotgun loaded with buckshot 123
girls between eleven and eighteen 58
girls between eleven and fourteen 53
girls between twelve and eighteen 141
girls between twelve and fourteen 152
given careful thought and attention 46
given weighting vector are strictly 124
growth hormone levels are elevated 156
guard against ambush and surprise 207
guard against becoming too involved 41
