gained widespread use as a 82
greater abundance and at a 48
greater abundance and of a 66
greater advantage than as a 132
greater advantage than in a 79
greater foresight and by a 45
greater frequency and in a 44
greater magnitude and of a 49
greatly resembled that of a 65
greatly resembles that of a 252
greatly respected him as a 66
