jealousy head 57 jeopardy for 99
jointed and 49 journey was 47
journey and 69 journey had 55
journey was 64 journey and 67
journey for 47 journey had 45
journey was 172 journey and 134
journey for 111 jugular cut 143
justice met 42 justice oath 61
justice who 76 justice them 62
justice for 66 justice his 82
justify being 97 justify doing 398
