jaw with enough force to 73
job and another place to 60
job and enough money to 81
jog his memory about the 57
joy and martial pride of 138
joy and profit shall be 74
joy and relief shone in 72
joy and sorrow which is 52
joy and sorrow which the 77
joy and sorrow would be 41
joy nor sorrow after he 91
