jealousies which had so long 226
judgments about him or her 76
judgments about his or her 345
judgments about how to act 99
judgments about how to deal 78
judgments about how to use 58
judgments about this or that 110
judgments which may or may 57
judgments which they do not 49
justified today than it was 52
