jealousies of the king and 65
judgments as it is our 93
judgments as to the real 56
justified if he or she 44
justified if it is for 123
justified if it is not 299
justified it on the plea 66
justified it to be law 52
justified me in so doing 45
justifies me to my own 48
justifies us in so doing 52
juveniles as it is with 231
juveniles up to the age 129
