demilitarized zone between israel 181
differentiated from gastric ulcer 80
differentiated from scarlet fever 153
differentiated from typhoid fever 320
differentiated into several kinds 61
differentiated into several parts 126
differentiated into several types 326
differentiation from typhoid fever 79
disagreements among experts about 64
discrimination case brought under 222
discrimination suit brought under 295
disintegrated into smaller units 66
distinguishable from similar white 88
