quaked and the rocks were 129
quarry for the first time 69
quarto and the first folio 130
quills for the chief mate 68
quitting for the first time 59
quiver with the cooling wind 587
quiver with the sound even 41
quorum for the first time 79
quotas for the first time 126
quoted for the first time 780
quotes for the first time 152
