quarto and folio texts of 239
quartz and other forms of 205
quartz and wash hills of 45
quartz are also found in 52
quartz has been found in 322
quartz has been found to 109
quartz has been shown to 47
queens and other women of 50
quench that deep thirst of 71
quotas and other forms of 313
quotas and other types of 48
quoted with deep feeling by 44
