quadrature with the sun on 129
quantified with the aid of 174
quantified with the use of 181
quantities and the use of 99
quantities are so few as 615
quantities for the use of 656
quantities than it can be 46
quantities that it can be 189
quantities that it may be 126
quantities that we had to 42
quantities with the aid of 211
quantities with the use of 51
