quarry will be one of 40
queens clad in all the 53
quoted case is that of 112
quoted from the act of 180
quoted from the art of 41
quoted from the end of 199
quoted from the law of 59
quoted from the lay of 58
quoted from the pen of 87
quoted from the song of 180
quoted here as one of 55
quoted here by way of 133
quoted here is that of 158
quoted once in one of 52
quoted some of them in 50
quotes from the end of 51
quotes from the song of 157
