use great civility towards the 42
use more advanced features of 56
use their artistic talents to 53
use their cultural capital to 52
use their dominant position in 101
use their dominant position to 61
use their friendly offices to 40
use their monopoly position to 106
use their powerful position to 41
use their religious beliefs to 60
use your internet browser to 54
using their dominant position in 53
using their monopoly position to 49
