use authorized if it purports 56
use computers as an integral 43
use computers or the internet 273
use discretion in the selection 117
use elsewhere in the business 195
use necessary to the complete 113
use permitted in the district 174
use profanity in the presence 95
use resources on the internet 88
use specified in the contract 82
using computers or the internet 58
using profanity in the presence 47
