umbrage at anything i have 42
unusual to amend a bill 51
unwilling to abide a third 45
unwilling to adopt a more 96
unwilling to allow a single 47
unwilling to grant a free 52
unwilling to utter a word 102
usually in about a month 52
usually in about a week 139
utility of which i have 83
uttered the words i have 118
