use another human being as 104
use before world war ii 173
use common sense and be 140
use common sense and do 583
use common sense and the 71
use common sense and to 145
use public funds for the 244
use public money for the 112
use reality rather than to 41
use through world war ii 45
use various terms for the 53
using common sense and by 46
using common sense and the 106
using dotted lines for the 45
using public funds for the 162
using public money for the 80
using without stint all the 96
