daily toil purchase freedom for 47
dancing some cannibal fandango all 50
defeat their purposes equally with 68
drawn from american history and 42
drawn from authentic sources and 77
drawn from christian history and 45
drawn from numerous sources and 47
drawn from original sources and 137
drawn into intimate contact with 69
drift along icebergs covered with 100
durst have muttered against his 48
