gar f on . 112
gat i on . 52
get a go . 54
get a hoe . 51
get a king . 66
get a no . 131
get a ring . 410
get a thing ! 904
get a tv . 131
god i am . 48
goes a king ! 133
goes i go . 176
got a go . 75
got a king . 90
got a no . 68
got a pa ! 43
got a ring . 324
got a thing . 546
got a tv . 261
guy i am ! 1349
