gain k is varied 168
gave a king instead 112
gave a tea honoring 62
giant h ii regions 513
girl i am engaged 77
give a an estate 139
give a dc output 57
giving n the values 59
glad i am always 104
goal i am striving 53
gods i am unable 87
good a thing should 67
good i am afraid 107
great a king should 110
great a thing should 331
great a thing without 72
great i am beside 49
