jewels the 82 jocund in 51
joined king 40 joined in 51
joined king 44 joined in 47
joints the 65 joints an 68
joints be 151 jokingly he 225
judged the 68 judges he 40
judges thing 47 judges be 328
judges the 71 judges the 106
judges the 76 judges the 202
jumped the 72 jumped me 544
jumped me 168 jumped my 550
jumped the 1688 jurors the 149
justly is 49 justly is 65
justly is 65 justly the 55
justly the 117 justly the 46
