l before and after 65
l forgot all about 240
l should not worry 151
l thought she might 221
l thought she would 217
l thought that maybe 216
l thought that might 88
l thought that would 223
l thought they might 157
l thought they would 282
l thought this might 41
l thought this would 201
l thought was right 43
l thought you could 199
l thought you liked 141
l thought you might 1301
l thought you would 664
