caused him no small embarrassment 45
changed with the changing circumstances 105
changes with the changing circumstances 40
charge that the reagan administration 105
church and the meeting indifferently 54
comply with the above specifications 56
comply with the royal recommendation 72
courts and the state administration 47
credit for the first comprehensive 42
