talking nonsense when they intimated 107
though dissenting from his doctrines 63
though happenings there and elsewhere 71
though sensible girl was compelled 48
though somewhat rude and irregular 48
thrown backward from his shoulders 51
thrown casually over her shoulders 41
thrown casually over his shoulders 59
total external debt was estimated 53
total property loss was estimated 44
trade questions were being discussed 54
trait precluding safe and efficient 61
