keep everything running smoothly and 65
keep everything under control and 72
keep himself under control and 63
kept himself under control and 75
knew everything about everything and 98
knew exactly where everything was 467
know everything about everything all 98
know everything about everything and 170
know everything about everything that 53
know exactly where everything was 88
