kilns used in waste disposal 58
knowing what he could possibly 64
knowing what no human sagacity 81
known among the white settlers 40
known from the above mentioned 41
known from the lower jurassic 143
known from the upper jurassic 301
known what the prime minister 46
knows nothing of music whatever 71
knows what he really proposed 45
