keep themselves more concealed in 60
keep themselves well informed as 55
keep themselves well informed of 203
keep themselves well informed on 113
kept reasonably well informed of 44
kept themselves well informed as 48
kept themselves well informed of 120
kept themselves well informed on 69
knew proceeded from distrust of 128
know precisely what happened at 49
know precisely what happened in 77
know precisely what happened to 116
