single symbols which a computer 65
some concern about a possible 108
some dignity about a minister 62
some general words i overheard 277
some mistake about a doctrine 45
some proverb about a reformed 54
some studies showing a positive 50
soon brought about a complete 82
such conduct under a mistaken 51
