so much higher than ours 474
so much higher than their 305
so much higher than those 1521
so much higher than what 165
so much higher than when 56
so much higher than your 61
so much higher that there 46
so much injury was done 58
so much keener and more 106
so much kinder and more 199
so much larger and less 40
so much larger and more 2780
so much larger than hers 125
so much larger than life 1831
so much larger than mine 285
so much larger than most 129
so much larger than other 219
so much larger than ours 364
so much larger than their 289
so much larger than these 55
so much larger than those 896
so much larger than what 111
so much larger than when 55
so much larger that even 41
so much larger that their 42
so much larger that there 46
so much louder and more 115
so much louder than what 42
so much margin for play 73
so much marrying and giving 58
so much matter for mirth 44
so much matter has been 43
so much mention has been 74
so much milder and more 217
so much misery and evil 46
so much misery and loss 43
so much misery and pain 206
so much misery and ruin 198
so much misery and such 234
so much misery and want 672
so much misery had been 113
so much muslin had been 55
so much myself that there 45
so much nature her self 64
so much needed for other 43
so much needed for their 48
so much nobler and more 182
so much nobler than pure 73
so much nobler than those 53
so much notice has been 70
so much passion and faith 52
so much pleased with some 100
so much pleased with their 268
so much pleased with these 153
so much pleased with what 246
so much pleased with young 53
so much pleased with your 324
so much poorer than those 55
so much powder and shot 568
so much praise has been 138
so much regard for miss 42
so much regard for their 89
so much regard for your 56
so much regard his other 57
so much regard was paid 78
so much richer and more 1206
so much richer for having 45
so much richer than most 40
so much richer than their 64
so much richer than those 55
so much should not have 41
so much silver and gold 510
so much slower and less 97
so much slower and more 78
so much smoothing her hair 49
so much softer and more 227
so much softer than those 41
so much sorrow and pain 141
so much spirit and flow 346
so much spirit and good 146
so much spirit and life 40
so much spirit and such 144
so much strength has been 134
so much strength that when 75
so much stress being laid 52
so much stress had been 481
so much stress has been 2125
so much stress was laid 1427
so much struck with their 162
so much struck with these 47
so much struck with what 181
so much talent and such 50
so much talent and tact 46
so much talent has been 125
so much talent out there 42
so much taller and more 160
so much taller than most 49
so much thicker and more 105
so much thinned that many 114
so much thinner and more 88
so much thinner than when 78
so much thought and care 920
so much thought and time 186
so much thought and toil 40
so much thought and work 133
so much thought had been 63
so much thought has been 156
so much through any love 82
so much timber had been 45
so much toward each other 115
so much uglier than when 64
so much vaster and more 158
so much virtue and self 97
so much warmer and more 226
so much weight had been 46
so much weight has been 155
so much weight that even 101
so much weight that their 61
so much weight that when 46
so much weight was laid 84
so much weight with some 47
so much whether they have 41
so much whether they were 112
so much whether they will 42
so much whether you have 60
so much wilder and more 247
so much wisdom and good 58
so much wisdom and love 75
so much wisdom and such 90
so much without any kind 126
so much without being able 58
so much wonder that there 58
so much younger and less 375
so much younger and more 436
so much younger than most 115
so much younger than their 88
so much younger than when 57
so much younger than your 80
so nothing further was done 201
so nothing further was said 119
so other methods are used 62
so pass through this life 69
so puts before our view 42
so their houses are full 45
so their mothers can work 48
so there always has been 167
so there should not have 283
so these habits too will 42
so these levels are only 207
so these places are well 50
so true should not feel 49
so very fluent and ready 61
so very little had been 65
so very little has been 210
so very little was done 46
so very unlike any other 52
so very unlike each other 93
so well agreed with hers 55
so well became his rank 67
so well chosen that there 41
so well define that word 109
so well fitted for dealing 47
so well fitted for such 65
so well fitted for their 137
so well formed for diving 84
so well hidden that even 346
so well hidden that only 167
so well hidden that their 41
so well marked off from 84
so well marked that there 101
so well placed and well 154
so well played her part 109
so well played his part 60
so well pleased that what 58
so well pleased with diana 83
so well pleased with having 69
so well pleased with some 42
so well pleased with their 985
so well pleased with these 108
so well pleased with those 44
so well pleased with what 421
so well pleased with your 530
so well poised that when 90
so well stored with good 44
so well suited for such 97
so well suited for their 88
so well talked his mind 119
so well taught his feet 42
so went through his list 44
so when something goes wrong 189
so will ensure that your 64
so wise beyond his years 88
so your mileage may vary 99
