far has blind reverence prevailed 102
fit his broad shoulders perfectly 85
for all goods previously delivered 65
for all urban consumers published 48
for his first published collection 41
for that which separates christians 61
for use under different conditions 172
for use under emergency conditions 50
for use under specified conditions 64
