narrative of his proceedings before 53
navigation on all important rivers 47
necessary to and regularly engaged 53
necessary to ask ourselves whether 111
necessary to its practical effect 45
necessary to use artificial methods 44
necessary to use different methods 172
necessary to use different values 43
necessary to use numerical methods 182
neighbors in her apartment building 107
neighbors in his apartment building 42
