read a biography of him 82
read a selection of his 110
read a sentence of his 41
read a sentence or two 1418
read a sentence to you 71
read a syllable in any 80
read a syllable of his 103
read a telegram he had 166
rear a monument to his 263
run a business if you 68
run a business in this 67
run a business of any 59
run a business of his 137
run a business of this 56
run a business on his 43
