rich drill core located rather 139
rise about three hundred yards 62
rise above their present level 200
road about five hundred yards 199
road about four hundred yards 96
road about three hundred yards 225
rock until their figures stood 49
room about five minutes after 41
room about five minutes later 60
runs above three hundred miles 88
