nao ? 157 ndi
. 93 near .
320 near . 294
near . 201 near
. 735 near ?
58 net . 104
new ? 96 new
. 91 nor .
110 nor ! 166
not ! 3531 not
. 902 not .
377 not ? 110
not . 207 not
. 47 not .
339 not . 243
not ! 348325 not
. 145 not .
42 not ? 169
not ? 57 not
? 1561 not .
206 not . 91
not ? 60 not
. 259 not .
116 not ? 96
not . 284 not
. 302 not ?
47 not . 47
not ? 58 not
? 81 not ?
197 noth . 1217
now . 241 now
. 249 now .
43 now . 41
nti . 132 nul
. 1361 nzi .
