happy time in contemplation and 57
heaven from the supernatural being 53
holds what is inconsistent with 92
house during the revolutionary war 127
house from the consideration that 47
human beings as demonstrated with 46
human beings to consideration and 72
human heart to extravagance and 52
human mind is commensurate with 60
human mind or consciousness and 98
human race is discontented with 106
