heights of science i professed 43
helpful in providing a framework 212
helpful to include a statement 50
himself as declining a compliance 54
himself in acquiring a knowledge 52
himself to acquire a knowledge 106
himself to acquiring a knowledge 55
himself to express a conviction 70
history is largely a chronicle 41
history to suggest a harmonious 47
