far as i . 77
for an a ? 104
for it i ? 45
for the a . 227
for the b . 48
for the c . 100
for the ea . 113
for the f . 65
for the i . 534
for the ia . 71
for the ing . 53
for the io . 87
for the j ? 81
for the l ? 55
for the m . 56
for the p ? 47
for the s ? 130
for the t ? 60
for the th . 114
for the u . 341
for the z ? 50
