fl oz fluid ounce 103
foe at every point 163
foe he really feared 57
foe of child labor 40
foe of labor unions 55
foe of social order 53
foe on equal terms 212
foe or enemy could 45
foe to noisy folly 41
ft at right angles 117
ft of floor space 1628
ft of fresh water 79
ft of water vapor 119
ft of water which 44
