law is not a thing 248
let me say a thing 85
let me say i am 843
let me say i do 373
let on that i am 104
let on that i do 65
let us put x to 40
let us say i am 127
lie to say i am 140
lie to say i do 83
long it was i do 47
long to fear a thing 76
lot of them i do 82
lot of things i am 147
lot of things i do 2764
lot of things i is 43
lot of who i am 125
lying in bed i am 48
