largely a matter for local 81
laughed a hoarse and brief 63
laughed a little and added 46
laughed a little and cried 78
laughed a little and leaned 54
laughed a little and shook 216
laughed a little low laugh 60
launching a career that would 44
lighted a candle and began 73
lighted a candle that stood 104
