larger numbers will have a 98
lashed herself into such a 41
lashed himself into such a 162
letter arrived here when i 45
little benefit from such a 85
little carried away when i 72
little control over such a 151
little fortune left when i 71
little village grew into a 44
looked exactly like what i 131
looked steadily down upon a 57
losses resulting from such a 271
