yearnings after we know not 274
yellow alloy of gold and 49
yellow blind the room was 64
yellow faces of young men 341
yellow fever in cuba and 181
yellow leaves of more than 103
yellow waves of fire that 44
yielding alike in peace and 41
yielding tangle of weed and 57
yonder field the other day 105
yonder shore to take and 49
younger ought to make them 81
younger people to care for 48
