mature deliberation i can 106
mental improvement i had 52
merely established a new 88
merely represented a new 58
merely substituted a new 239
merely substitutes a new 96
million automobiles a year 435
million individuals a year 187
million inhabitants a year 85
million pregnancies a year 139
million publications a year 47
million transactions a day 506
million transactions a year 279
modern inoculations a bit 73
