o add s to 118
o and a as 60
o and a in 450
o and a is 222
o and a of 48
o and a the 41
o and b as 47
o and b be 51
o and b in 378
o and b is 203
o and b of 208
o and b the 50
o and b to 48
o and c in 41
o and c is 43
o and c of 57
o and e in 297
o and e is 73
o and e of 56
o and i in 131
o and i is 112
o and o in 55
o and o is 42
o and p in 153
o and p is 143
o and p of 55
o and p to 47
o and u as 81
o and u in 499
o and u is 123
o for a in 92
o for e in 77
o for u in 108
o yes o no 1100
