was an ancient local 73
was an ancient looking 51
was an ancient manor 246
was an ancient maxim 155
was an ancient method 248
was an ancient model 95
was an ancient mound 59
was an ancient nation 195
was an ancient notion 69
was an ancient order 73
was an ancient pagan 326
was an ancient people 70
was an ancient piece 191
was an ancient place 510
was an ancient porch 74
was an ancient queen 44
was an ancient region 123
was an ancient relic 232
was an ancient right 468
was an ancient river 239
was an ancient roman 2898
was an ancient route 102
was an ancient royal 166
was an ancient saxon 142
was an ancient skill 57
was an ancient sport 49
was an ancient state 166
was an ancient stone 449
was an ancient story 561
was an ancient style 42
was an ancient sword 183
was an ancient table 41
was an ancient title 211
was an ancient tower 109
was an ancient track 40
was an ancient trade 285
was an ancient trading 208
was an ancient trail 48
was an ancient tribe 54
was an ancient trick 45
was an ancient usage 471
was an ancient water 107
was an ancient weapon 146
was an ancient white 80
was an ancient woman 255
was an ancient world 63
was an aneroid glass 86
was an anglican vicar 83
was an animating force 87
was an animating scene 92
was an animating sight 107
was an anointing within 40
was an anomaly since 41
was an anomaly which 617
was an anomaly within 159
was an answering burst 45
was an answering croak 69
was an answering flash 106
was an answering light 91
was an answering shout 741
was an answering smile 89
was an answering sound 42
was an answering voice 53
was an antique brass 100
was an antique chest 47
was an antique clock 155
was an antique dealer 581
was an antique piece 44
was an antique store 203
was an antique table 77
was an anxiety about 336
was an anxiety state 40
was an anxiety which 129
was an apology which 47
was an appalling breach 69
was an appalling change 48
was an appalling crash 115
was an appalling crime 73
was an appalling danger 41
was an appalling error 41
was an appalling night 62
was an appalling noise 42
was an appalling piece 41
was an appalling place 97
was an appalling scene 207
was an appalling shock 120
was an appalling sight 869
was an appalling sound 48
was an appalling state 85
was an appalling storm 41
was an appalling story 91
was an appalling waste 120
was an approving smile 45
was an aquatic corps 50
was an aquatic plant 81
was an archway opening 80
was an archway which 70
was an arduous chore 65
was an arduous climb 133
was an arduous labor 55
was an arduous march 67
was an arduous place 48
was an armenian named 162
was an armenian woman 54
was an armored truck 54
was an arranged match 241
was an arranged meeting 87
was an arresting image 46
was an arresting sight 507
was an arrival which 48
was an article about 4413
was an article headed 331
was an article stating 83
was an article telling 51
was an article under 45
was an article which 1685
was an article whose 57
was an ascending scale 227
was an ascetic named 96
was an ascetic whose 40
was an assault rifle 78
was an assault which 49
was an assenting party 212
was an athletic coach 70
was an athletic event 80
was an athletic field 97
was an athletic looking 53
was an athletic woman 79
was an attempt after 63
was an attempt either 85
was an attempt under 86
was an attempt which 546
was an attempt within 70
was an audible click 923
was an audible crack 178
was an audible groan 563
was an audible sound 183
was an audible voice 103
was an austere beauty 43
was an austere looking 42
was an austere place 135
was an austere woman 175
was an austrian agent 62
was an austrian baron 53
was an austrian count 96
was an austrian field 49
was an austrian named 150
was an austrian rather 40
was an austrian woman 65
was an avarice which 149
was an average change 50
was an average child 93
was an average daily 923
was an average delay 114
was an average error 71
was an average growth 94
was an average looking 383
was an average night 49
was an average period 45
was an average price 215
was an average pupil 198
was an average score 68
was an average sized 266
was an average speed 175
was an average total 64
was an average value 243
was an average woman 91
was an average yearly 206
was an average yield 164
was an avoided house 101
was an awakening which 90
was an awesome crime 47
was an awesome event 116
was an awesome feeling 300
was an awesome force 90
was an awesome piece 69
was an awesome place 264
was an awesome power 114
was an awesome scene 86
was an awesome sight 3069
was an awesome sound 143
was an awesome weapon 110
was an awesome woman 49
was an awfully close 100
was an awfully funny 81
was an awfully grand 76
was an awfully jolly 149
was an awfully large 66
was an awfully queer 46
was an awfully small 64
was an awfully sweet 78
was an awkward child 89
was an awkward climb 46
was an awkward delay 42
was an awkward evening 41
was an awkward feeling 131
was an awkward hitch 43
was an awkward issue 51
was an awkward looking 48
was an awkward lover 44
was an awkward meeting 323
was an awkward method 40
was an awkward pause 9167
was an awkward period 324
was an awkward piece 68
was an awkward place 504
was an awkward point 72
was an awkward scene 165
was an awkward shape 98
was an awkward state 56
was an awkward topic 51
was an awkward visit 52
was an awkward weapon 58
was an easiness about 94
was an easterly storm 42
was an economy based 240
was an economy drive 63
was an economy where 53
was an economy which 206
was an edifice built 162
was an edifice which 104
was an egotism which 51
was an egyptian deity 199
was an egyptian false 67
was an egyptian greek 68
was an egyptian mummy 175
was an egyptian named 132
was an egyptian noble 42
was an egyptian pilot 67
was an egyptian queen 118
was an egyptian slave 143
was an egyptian whose 59
was an egyptian woman 242
was an elastic fluid 108
was an elastic force 43
was an elastic solid 46
was an elderly black 948
was an elderly chief 145
was an elderly indian 237
was an elderly irish 44
was an elderly looking 42
was an elderly negro 275
was an elderly seaman 55
was an elderly white 308
was an elderly widow 783
was an elderly woman 6877
was an elected chief 47
was an elected leader 139
was an elected ruler 42
was an election agent 54
was an election issue 324
was an election judge 67
was an election meeting 43
was an election pending 70
was an election stunt 46
was an election under 54
was an election where 111
was an election which 206
was an election within 78
was an elegant black 93
was an elegant brick 42
was an elegant dress 40
was an elegant hotel 68
was an elegant house 153
was an elegant latin 380
was an elegant looking 79
was an elegant party 51
was an elegant piece 311
was an elegant place 292
was an elegant royal 56
was an elegant setting 43
was an elegant stone 57
was an elegant table 74
was an elegant white 130
was an elegant woman 601
was an element about 51
was an element lacking 46
was an element missing 158
was an element which 1332
was an element within 173
was an elitist group 96
was an elusive vision 83
was an emerald flash 49
was an emerald green 491
was an eminent actor 42
was an eminent author 125
was an eminent civil 116
was an eminent greek 331
was an eminent indian 94
was an eminent judge 260
was an eminent leader 166
was an eminent legal 68
was an eminent local 55
was an eminent proof 59
was an eminent roman 224
was an eminent saint 310
was an eminent social 107
was an eminent trait 47
was an emotive issue 202
was an emperor named 50
was an emperor whose 66
was an enclave where 56
was an enclave within 148
was an endeavor which 48
was an endless array 170
was an endless chain 432
was an endless chore 58
was an endless cycle 403
was an endless field 110
was an endless night 161
was an endless party 53
was an endless pause 116
was an endless period 47
was an endless plain 83
was an endless quest 66
was an endless queue 61
was an endless round 1430
was an endless search 93
was an endless sleep 59
was an endless story 45
was an endless stream 1076
was an endless topic 70
was an endless train 48
was an endless vista 109
was an endless whirl 44
was an engineer first 50
was an engineer named 389
was an engineer rather 87
was an engineer whose 264
was an engineer working 364
was an engraved plate 42
was an enviable place 52
was an enviable state 49
was an episode about 93
was an episode rather 48
was an episode where 142
was an episode which 857
was an epistle which 78
was an epitaph which 41
was an epochal change 71
was an epochal event 1928
was an equally brave 53
was an equally close 60
was an equally craving 56
was an equally faint 50
was an equally fatal 58
was an equally grave 82
was an equally happy 125
was an equally large 584
was an equally loyal 53
was an equally noble 52
was an equally novel 55
was an equally rapid 184
was an equally sharp 170
was an equally short 85
was an equally small 152
was an equally steady 75
was an equally strong 1812
was an equally valid 140
was an equally vital 126
was an equally vivid 44
was an equation which 103
was an erection which 47
was an eruption which 71
was an escaped felon 200
was an escaped slave 989
was an especial cause 116
was an especial point 50
was an especial reason 185
was an especial token 44
was an essence which 72
was an eternal flame 44
was an eternal jangle 41
was an eternal motion 85
was an eternal plant 47
was an eternal round 40
was an eternal sleep 385
was an evasive reply 72
was an evident breach 70
was an evident cause 61
was an evident change 419
was an evident danger 112
was an evident feeling 184
was an evident proof 511
was an evident reason 88
was an evident sense 74
was an evident shift 65
was an evident token 102
was an evident trend 74
was an exactly equal 51
was an exalted state 49
was an examining table 141
was an example given 99
was an example taken 41
was an example where 491
was an example which 946
was an example worthy 246
was an exceeding strong 57
was an exchange about 65
was an exchange which 109
was an exchange within 48
was an excited burst 49
was an excited crowd 249
was an excited flush 48
was an excited group 98
was an excited meeting 48
was an excited shout 101
was an exertion which 56
was an exhibit which 57
was an expanding field 64
was an expanding force 59
was an expanding power 77
was an expanding world 90
was an expense which 290
was an exploit which 242
was an exploit worthy 175
was an exposed nerve 57
was an exposed place 127
was an express finding 230
was an express grant 104
was an express order 140
was an express power 108
was an express rider 66
was an express train 561
was an express trust 203
was an extreme action 77
was an extreme change 53
was an extreme close 140
was an extreme danger 66
was an extreme event 115
was an extreme lover 138
was an extreme party 59
was an extreme piece 51
was an extreme point 83
was an extreme right 814
was an extreme sense 64
was an extreme shock 42
was an extreme social 85
was an extreme state 131
was an extreme value 63
was an heavenly noise 57
was an heiress whose 64
was an honesty about 234
was an honored guest 3386
was an honored leader 59
was an hundred forty 74
was an hundred miles 129
was an hundred times 162
was an hundred yards 58
was an idealism which 83
was an idealist about 67
was an idealist rather 73
was an idealist whose 155
was an idealist withal 61
was an ideology based 89
was an ideology which 581
was an idyllic period 134
was an idyllic place 506
was an idyllic scene 354
was an idyllic setting 857
was an idyllic world 83
was an illegal action 383
was an illegal alien 2360
was an illegal entry 82
was an illegal group 43
was an illegal meeting 176
was an illegal method 52
was an illegal order 135
was an illegal party 91
was an illegal price 44
was an illegal search 364
was an illegal trade 235
was an illegal weapon 65
was an illicit trade 110
was an illness which 255
was an illusion after 43
was an illusion arising 86
was an illusion based 105
was an illusion since 70
was an illusion which 812
was an immense array 76
was an immense asset 239
was an immense attic 92
was an immense aviary 223
was an immense basin 110
was an immense black 307
was an immense block 185
was an immense boost 65
was an immense brute 61
was an immense change 249
was an immense chasm 55
was an immense cloud 138
was an immense crowd 2881
was an immense empty 81
was an immense event 91
was an immense feeling 131
was an immense field 201
was an immense fleet 51
was an immense flock 83
was an immense flood 93
was an immense force 265
was an immense globe 40
was an immense green 41
was an immense growth 170
was an immense honor 52
was an immense hooting 43
was an immense horse 47
was an immense house 104
was an immense human 105
was an immense labor 237
was an immense meeting 152
was an immense moral 87
was an immense oblong 236
was an immense opening 99
was an immense party 111
was an immense period 41
was an immense piece 184
was an immense place 430
was an immense plain 373
was an immense plane 122
was an immense point 80
was an immense power 201
was an immense pride 43
was an immense prize 49
was an immense reader 117
was an immense region 147
was an immense river 48
was an immense roaring 100
was an immense rocky 54
was an immense round 162
was an immense sense 106
was an immense sheet 52
was an immense shock 174
was an immense snake 45
was an immense social 89
was an immense space 120
was an immense stone 208
was an immense store 151
was an immense stove 78
was an immense table 145
was an immense tower 46
was an immense tract 171
was an immense waste 155
was an immense water 130
was an immense wheel 45
was an immense white 211
was an immense woman 92
was an immense world 84
was an immoral woman 469
was an impasse which 141
was an impelling cause 60
was an impelling force 109
was an impelling reason 45
was an impending danger 63
was an imperial agent 43
was an imperial court 90
was an imperial crown 183
was an imperial edict 353
was an imperial force 42
was an imperial nation 65
was an imperial order 114
was an imperial power 1195
was an imperial rather 64
was an imperial state 65
was an impetus given 104
was an implied denial 65
was an implied grant 79
was an implied power 243
was an implied repeal 44
was an implied right 323
was an implied trust 66
was an implied warning 121
was an improving party 49
was an impulse which 233
was an incised wound 299
was an increase above 54
was an increase after 147
was an increase again 61
was an increase every 43
was an increase rather 193
was an increase since 45
was an increase under 77
was an increase until 43
was an increase which 156
was an increasing apathy 41
was an increasing cause 61
was an increasing class 41
was an increasing danger 178
was an increasing feeling 999
was an increasing flood 44
was an increasing focus 256
was an increasing growth 41
was an increasing level 212
was an increasing linear 56
was an increasing sense 908
was an increasing share 59
was an increasing shift 107
was an increasing social 59
was an increasing split 41
was an increasing stream 100
was an increasing taste 47
was an increasing trade 142
was an increasing trend 1338
was an increasing vogue 53
was an increasing worry 86
was an incubus which 96
was an inferior actor 48
was an inferior brand 93
was an inferior class 143
was an inferior clerk 45
was an inferior court 110
was an inferior deity 74
was an inferior force 51
was an inferior grade 100
was an inferior human 55
was an inferior order 142
was an inferior piece 65
was an inferior state 61
was an inferior weapon 47
was an inglorious defeat 43
was an ingrained habit 338
was an ingratiating smile 145
was an injured party 110
was an injured saint 52
was an injured woman 214
was an inquiry about 367
was an inquiry after 106
was an inquiry which 354
was an insight echoed 84
was an insight which 165
was an inspiring evening 43
was an inspiring event 96
was an inspiring force 221
was an inspiring guide 50
was an inspiring leader 618
was an inspiring meeting 45
was an inspiring model 60
was an inspiring place 117
was an inspiring scene 203
was an inspiring sight 1850
was an inspiring story 221
was an inspiring vision 106
was an instant bonding 45
was an instant burst 58
was an instant change 267
was an instant check 75
was an instant feeling 71
was an instant flash 100
was an instant halting 92
was an instant knock 47
was an instant later 60
was an instant pause 121
was an instant reply 45
was an instant sense 101
was an instant shout 49
was an instant smash 697
was an instant spark 49
was an instant where 68
was an insular nation 47
was an insured peril 63
was an insured under 550
was an intense black 115
was an intense burning 56
was an intense burst 43
was an intense feeling 677
was an intense fight 83
was an intense flash 67
was an intense focus 144
was an intense frost 249
was an intense green 76
was an intense hater 103
was an intense inner 42
was an intense learning 143
was an intense light 226
was an intense lover 373
was an intense moral 86
was an intense period 417
was an intense power 61
was an intense pride 80
was an intense search 112
was an intense sense 223
was an intense shock 50
was an intense smell 41
was an intense social 48
was an intense study 47
was an intense white 79
was an intense woman 109
was an intense yearning 43
was an interim order 45
was an interim period 474
was an interim phase 57
was an interim stage 108
was an interior scene 52
was an interior space 49
was an invalid after 49
was an invalid child 70
was an invalid until 172
was an invalid whose 60
was an invasion force 80
was an invasion scare 231
was an invasion which 97
was an inverse linear 249
was an invited guest 4167
was an invited paper 95
was an islamic state 1178
was an oblique warning 47
was an obscene period 88
was an obscene phone 105
was an obscure clerk 213
was an obscure event 43
